shruthi@shruthi-Standard-PC-Q35-ICH9-2009:~/Documents$ Rscript analyze_jira_data.R

Attaching package: ‘dplyr’

The following objects are masked from ‘package:stats’:

    filter, lag

The following objects are masked from ‘package:base’:

    intersect, setdiff, setequal, union


Attaching package: ‘lubridate’

The following objects are masked from ‘package:base’:

    date, intersect, setdiff, union

[1] 0


Table: Tickets Opened Per Month

|  Month   | Number of Tickets Opened |
|:--------:|:------------------------:|
| 1-02-01  |            1             |
| 1-04-01  |            6             |
| 1-05-01  |            1             |
| 1-06-01  |            4             |
| 1-07-01  |            2             |
| 1-10-01  |            5             |
| 1-11-01  |            1             |
| 1-12-01  |            2             |
| 2-02-01  |            6             |
| 2-03-01  |            6             |
| 2-06-01  |            8             |
| 2-07-01  |            1             |
| 2-08-01  |            2             |
| 2-12-01  |            3             |
| 3-02-01  |            2             |
| 3-03-01  |            1             |
| 3-05-01  |            2             |
| 3-06-01  |            6             |
| 3-11-01  |            2             |
| 3-12-01  |            5             |
| 4-01-01  |            3             |
| 4-02-01  |            2             |
| 4-03-01  |            7             |
| 4-05-01  |            2             |
| 4-06-01  |            1             |
| 4-08-01  |            5             |
| 4-10-01  |            2             |
| 4-12-01  |            1             |
| 5-01-01  |            4             |
| 5-02-01  |            2             |
| 5-03-01  |            2             |
| 5-04-01  |            1             |
| 5-05-01  |            4             |
| 5-07-01  |            1             |
| 5-08-01  |            2             |
| 5-10-01  |            1             |
| 5-11-01  |            3             |
| 6-01-01  |            1             |
| 6-04-01  |            3             |
| 6-05-01  |            3             |
| 6-08-01  |            1             |
| 6-09-01  |            4             |
| 6-10-01  |            1             |
| 6-12-01  |            2             |
| 7-01-01  |            2             |
| 7-04-01  |            3             |
| 7-05-01  |            5             |
| 7-06-01  |            3             |
| 7-07-01  |            4             |
| 7-09-01  |            2             |
| 7-10-01  |            5             |
| 7-11-01  |            2             |
| 7-12-01  |            6             |
| 8-01-01  |            2             |
| 8-02-01  |            4             |
| 8-03-01  |            3             |
| 8-04-01  |            3             |
| 8-05-01  |            2             |
| 8-06-01  |            4             |
| 8-07-01  |            1             |
| 8-09-01  |            3             |
| 8-10-01  |            2             |
| 8-11-01  |            2             |
| 9-02-01  |            2             |
| 9-03-01  |            2             |
| 9-04-01  |            2             |
| 9-06-01  |            4             |
| 9-07-01  |            2             |
| 9-08-01  |            1             |
| 9-09-01  |            2             |
| 9-11-01  |            1             |
| 9-12-01  |            1             |
| 10-02-01 |            1             |
| 10-03-01 |            3             |
| 10-05-01 |            3             |
| 10-06-01 |            2             |
| 10-08-01 |            3             |
| 10-09-01 |            3             |
| 10-11-01 |            1             |
| 10-12-01 |            3             |
| 11-01-01 |            3             |
| 11-02-01 |            1             |
| 11-03-01 |            5             |
| 11-05-01 |            5             |
| 11-06-01 |            1             |
| 11-08-01 |            3             |
| 11-09-01 |            1             |
| 11-11-01 |            2             |
| 11-12-01 |            3             |
| 12-01-01 |            3             |
| 12-02-01 |            1             |
| 12-03-01 |            1             |
| 12-04-01 |            1             |
| 12-05-01 |            5             |
| 12-07-01 |            3             |
| 12-08-01 |            3             |
| 12-10-01 |            2             |
| 12-11-01 |            3             |
| 13-02-01 |            2             |
| 13-04-01 |            5             |
| 13-07-01 |            2             |
| 13-08-01 |            2             |
| 13-09-01 |            1             |
| 13-10-01 |            2             |
| 14-01-01 |            5             |
| 14-02-01 |            1             |
| 14-04-01 |            5             |
| 14-05-01 |            1             |
| 14-06-01 |            5             |
| 14-07-01 |            4             |
| 14-10-01 |            4             |
| 14-12-01 |            2             |
| 15-01-01 |            3             |
| 15-02-01 |            7             |
| 15-03-01 |            1             |
| 15-04-01 |            5             |
| 15-05-01 |            2             |
| 15-06-01 |            5             |
| 15-07-01 |            3             |
| 15-09-01 |            3             |
| 15-10-01 |            2             |
| 15-11-01 |            2             |
| 15-12-01 |            2             |
| 16-02-01 |            3             |
| 16-03-01 |            4             |
| 16-04-01 |            4             |
| 16-06-01 |            4             |
| 16-07-01 |            5             |
| 16-08-01 |            1             |
| 16-09-01 |            1             |
| 16-11-01 |            1             |
| 17-02-01 |            3             |
| 17-03-01 |            4             |
| 17-05-01 |            2             |
| 17-06-01 |            3             |
| 17-08-01 |            2             |
| 17-09-01 |            5             |
| 17-12-01 |            4             |
| 18-01-01 |            1             |
| 18-02-01 |            5             |
| 18-03-01 |            1             |
| 18-05-01 |            6             |
| 18-06-01 |            6             |
| 18-08-01 |            1             |
| 18-10-01 |            1             |
| 18-11-01 |            1             |
| 19-01-01 |            3             |
| 19-02-01 |            2             |
| 19-03-01 |            2             |
| 19-04-01 |            3             |
| 19-05-01 |            3             |
| 19-06-01 |            1             |
| 19-07-01 |            1             |
| 19-08-01 |            1             |
| 20-01-01 |            2             |
| 20-02-01 |            2             |
| 20-03-01 |            1             |
| 20-04-01 |            4             |
| 20-05-01 |            5             |
| 20-07-01 |            4             |
| 20-08-01 |            4             |
| 20-09-01 |            2             |
| 20-10-01 |            3             |
| 21-01-01 |            4             |
| 21-04-01 |            2             |
| 21-05-01 |            3             |
| 21-06-01 |            4             |
| 21-07-01 |            2             |
| 21-09-01 |            6             |
| 21-10-01 |            2             |
| 21-12-01 |            4             |
| 22-01-01 |            4             |
| 22-02-01 |            1             |
| 22-03-01 |            2             |
| 22-04-01 |            1             |
| 22-06-01 |            6             |
| 22-07-01 |            3             |
| 22-09-01 |            2             |
| 22-10-01 |            3             |
| 22-11-01 |            4             |
| 22-12-01 |            1             |
| 23-02-01 |            3             |
| 23-03-01 |            4             |
| 23-04-01 |            3             |
| 23-06-01 |            1             |
| 23-07-01 |            3             |
| 23-08-01 |            4             |
| 23-09-01 |            3             |
| 23-11-01 |            5             |
| 24-02-01 |            7             |
| 24-03-01 |            2             |
| 24-05-01 |            2             |
| 24-06-01 |            4             |
| 24-07-01 |            1             |
| 24-08-01 |            3             |
| 24-11-01 |            1             |
| 24-12-01 |            1             |
| 25-01-01 |            4             |
| 25-02-01 |            3             |
| 25-03-01 |            4             |
| 25-05-01 |            3             |
| 25-06-01 |            4             |
| 25-08-01 |            3             |
| 25-11-01 |            3             |
| 25-12-01 |            1             |
| 26-01-01 |            1             |
| 26-02-01 |            4             |
| 26-03-01 |            5             |
| 26-04-01 |            4             |
| 26-05-01 |            3             |
| 26-07-01 |            4             |
| 26-08-01 |            2             |
| 26-10-01 |            2             |
| 27-01-01 |            3             |
| 27-05-01 |            3             |
| 27-07-01 |            1             |
| 27-08-01 |            3             |
| 27-09-01 |            4             |
| 27-10-01 |            3             |
| 28-01-01 |            4             |
| 28-04-01 |            3             |
| 28-05-01 |            3             |
| 28-06-01 |            2             |
| 28-07-01 |            1             |
| 28-09-01 |            2             |
| 28-10-01 |            2             |
| 28-12-01 |            4             |
| 29-01-01 |            2             |
| 29-04-01 |            3             |
| 29-06-01 |            1             |
| 29-07-01 |            3             |
| 29-09-01 |            4             |
| 29-10-01 |            2             |
| 29-11-01 |            3             |
| 29-12-01 |            2             |
| 30-01-01 |            2             |
| 30-03-01 |            6             |
| 30-04-01 |            2             |
| 30-06-01 |            2             |
| 30-07-01 |            3             |
| 30-08-01 |            3             |
| 30-09-01 |            4             |
| 30-10-01 |            1             |
| 30-11-01 |            2             |
| 30-12-01 |            2             |
| 31-03-01 |            8             |
| 31-05-01 |            1             |
| 31-08-01 |            3             |


Table: Tickets Closed Per Month

|  Month   | Number of Tickets Closed |
|:--------:|:------------------------:|
| 1-02-01  |            6             |
| 1-03-01  |            4             |
| 1-04-01  |            1             |
| 1-06-01  |            6             |
| 1-07-01  |            2             |
| 1-09-01  |            7             |
| 1-10-01  |            5             |
| 1-12-01  |            2             |
| 2-02-01  |            7             |
| 2-03-01  |            2             |
| 2-04-01  |            3             |
| 2-06-01  |            2             |
| 2-11-01  |            1             |
| 2-12-01  |            2             |
| 3-01-01  |            3             |
| 3-02-01  |            2             |
| 3-03-01  |            4             |
| 3-04-01  |            1             |
| 3-05-01  |            2             |
| 3-06-01  |            1             |
| 3-10-01  |            1             |
| 3-11-01  |            1             |
| 3-12-01  |            3             |
| 4-01-01  |            3             |
| 4-02-01  |            1             |
| 4-03-01  |            5             |
| 4-05-01  |            2             |
| 4-06-01  |            8             |
| 4-07-01  |            1             |
| 4-08-01  |            2             |
| 4-11-01  |            1             |
| 4-12-01  |            1             |
| 5-01-01  |            3             |
| 5-02-01  |            1             |
| 5-03-01  |            4             |
| 5-04-01  |            1             |
| 5-08-01  |            3             |
| 5-10-01  |            4             |
| 5-11-01  |            4             |
| 6-01-01  |            1             |
| 6-04-01  |            2             |
| 6-05-01  |            3             |
| 6-07-01  |            4             |
| 6-08-01  |            2             |
| 6-09-01  |            1             |
| 6-10-01  |            2             |
| 6-12-01  |            4             |
| 7-04-01  |            5             |
| 7-06-01  |            6             |
| 7-07-01  |            3             |
| 7-12-01  |            3             |
| 8-02-01  |            6             |
| 8-03-01  |            2             |
| 8-04-01  |            7             |
| 8-05-01  |            1             |
| 8-06-01  |            2             |
| 8-07-01  |            4             |
| 8-09-01  |            4             |
| 8-10-01  |            4             |
| 8-11-01  |            2             |
| 8-12-01  |            4             |
| 9-02-01  |            1             |
| 9-03-01  |            2             |
| 9-04-01  |            1             |
| 9-06-01  |            5             |
| 9-07-01  |            1             |
| 9-08-01  |            1             |
| 9-09-01  |            1             |
| 9-11-01  |            1             |
| 9-12-01  |            1             |
| 10-01-01 |            2             |
| 10-02-01 |            2             |
| 10-03-01 |            1             |
| 10-05-01 |            3             |
| 10-06-01 |            3             |
| 10-08-01 |            1             |
